station,dwr3id,pname,value,cdecday
Peterson Flat,PET,swe_latest,5.9,2019-12-29
Peterson Flat,PET,swe_percapr1,20,2019-12-29
Red Rock Mountain,RRM,swe_latest,14.8,2019-12-29
Red Rock Mountain,RRM,swe_percapr1,37,2019-12-29
Bonanza King,BNK,swe_latest,9.1,2019-12-29
Bonanza King,BNK,swe_percapr1,23,2019-12-29
Shimmy Lake,SHM,swe_latest,8.7,2019-12-29
Shimmy Lake,SHM,swe_percapr1,22,2019-12-29
Middle Boulder 3,MB3,swe_latest,10.8,2019-12-29
Middle Boulder 3,MB3,swe_percapr1,38,2019-12-29
Scott Mountain,SCT,swe_latest,2.5,2019-12-29
Scott Mountain,SCT,swe_percapr1,16,2019-12-29
Mumbo Basin,MUM,swe_latest,7.2,2019-12-29
Mumbo Basin,MUM,swe_percapr1,32,2019-12-29
Big Flat,BFL,swe_latest,5.6,2019-12-29
Big Flat,BFL,swe_percapr1,36,2019-12-29
Crowder Flat,CWF,swe_latest,1,2019-12-29
Cedar Pass,CDP,swe_latest,5.7,2019-12-29
Cedar Pass,CDP,swe_percapr1,31,2019-12-29
Sand Flat,SDF,swe_latest,8.5,2019-12-29
Sand Flat,SDF,swe_percapr1,20,2019-12-29
Medicine Lake,MED,swe_latest,8.4,2019-12-29
Medicine Lake,MED,swe_percapr1,26,2019-12-29
Adin Mountain,ADM,swe_latest,3.8,2019-12-29
Adin Mountain,ADM,swe_percapr1,28,2019-12-29
Snow Mountain,SNM,swe_latest,4.9,2019-12-29
Snow Mountain,SNM,swe_percapr1,18,2019-12-29
Slate Creek,SLT,swe_latest,2.4,2019-12-29
Slate Creek,SLT,swe_percapr1,8,2019-12-29
Stouts Meadow,STM,swe_latest,7.1,2019-12-29
Stouts Meadow,STM,swe_percapr1,20,2019-12-29
Kettle Rock,KTL,swe_latest,8.9,2019-12-29
Kettle Rock,KTL,swe_percapr1,35,2019-12-29
Grizzly Ridge,GRZ,swe_latest,9.6,2019-12-29
Grizzly Ridge,GRZ,swe_percapr1,32,2019-12-29
Pilot Peak,PLP,swe_latest,13.5,2019-12-29
Pilot Peak,PLP,swe_percapr1,26,2019-12-29
Gold Lake,GOL,swe_latest,11.2,2019-12-29
Gold Lake,GOL,swe_percapr1,31,2019-12-29
Humbug,HMB,swe_latest,15,2019-12-29
Humbug,HMB,swe_percapr1,54,2019-12-29
Harkness Flat,HRK,swe_latest,7.2,2019-12-29
Harkness Flat,HRK,swe_percapr1,25,2019-12-29
Rattlesnake,RTL,swe_latest,7.8,2019-12-29
Rattlesnake,RTL,swe_percapr1,56,2019-12-29
Bucks Lake,BKL,swe_latest,11.3,2019-12-29
Bucks Lake,BKL,swe_percapr1,25,2019-12-29
Four Trees,FOR,swe_latest,5.4,2019-12-29
Four Trees,FOR,swe_percapr1,27,2019-12-29
Noel Spring,NLS,swe_latest,0.7,2019-12-29
Carson Pass,CXS,swe_latest,14,2019-12-29
Alpha,ALP,swe_latest,13.1,2019-12-29
Alpha,ALP,swe_percapr1,36,2019-12-29
Forni Ridge,FRN,swe_latest,13.2,2019-12-29
Forni Ridge,FRN,swe_percapr1,36,2019-12-29
Meadow Lake,MDW,swe_latest,16.6,2019-12-29
Meadow Lake,MDW,swe_percapr1,30,2019-12-29
Silver Lake,SIL,swe_latest,11.8,2019-12-29
Silver Lake,SIL,swe_percapr1,52,2019-12-29
Central Sierra Snow Lab,CSL,swe_latest,12.9,2019-12-29
Central Sierra Snow Lab,CSL,swe_percapr1,38,2019-12-29
Van Vleck,VVL,swe_latest,14.3,2019-12-29
Van Vleck,VVL,swe_percapr1,40,2019-12-29
Robbs Saddle,RBB,swe_latest,3.5,2019-12-29
Robbs Saddle,RBB,swe_percapr1,16,2019-12-29
Blue Canyon,BLC,swe_latest,2,2019-12-29
Blue Canyon,BLC,swe_percapr1,22,2019-12-29
Robbs Powerhouse,RBP,swe_latest,1,2019-12-29
Robbs Powerhouse,RBP,swe_percapr1,19,2019-12-29
Deadman Creek,DDM,swe_latest,6.1,2019-12-29
Deadman Creek,DDM,swe_percapr1,16,2019-12-29
Highland Meadow,HHM,swe_latest,16.6,2019-12-29
Highland Meadow,HHM,swe_percapr1,35,2019-12-29
Gianelli Meadow,GNL,swe_latest,15.1,2019-12-29
Gianelli Meadow,GNL,swe_percapr1,27,2019-12-29
Blue Lakes,BLK,swe_latest,12.2,2019-12-29
Blue Lakes,BLK,swe_percapr1,37,2019-12-29
Stanislaus Meadow,SLM,swe_latest,19.1,2019-12-29
Stanislaus Meadow,SLM,swe_percapr1,40,2019-12-29
Bloods Creek,BLD,swe_latest,16.2,2019-12-29
Bloods Creek,BLD,swe_percapr1,46,2019-12-29
Black Springs,BLS,swe_latest,12.2,2019-12-29
Black Springs,BLS,swe_percapr1,38,2019-12-29
Dana Meadows,DAN,swe_latest,8.3,2019-12-29
Dana Meadows,DAN,swe_percapr1,30,2019-12-29
Slide Canyon,SLI,swe_latest,10.7,2019-12-29
Slide Canyon,SLI,swe_percapr1,26,2019-12-29
Tuolumne Meadows,TUM,swe_latest,6.5,2019-12-29
Tuolumne Meadows,TUM,swe_percapr1,29,2019-12-29
Horse Meadow,HRS,swe_latest,16.9,2019-12-29
Horse Meadow,HRS,swe_percapr1,35,2019-12-29
Ostrander Lake,STR,swe_latest,12.6,2019-12-29
Ostrander Lake,STR,swe_percapr1,36,2019-12-29
Lake Tenaya,TNY,swe_latest,11.3,2019-12-29
Lake Tenaya,TNY,swe_percapr1,34,2019-12-29
Paradise Meadow,PDS,swe_latest,12.7,2019-12-29
Paradise Meadow,PDS,swe_percapr1,31,2019-12-29
Gin Flat,GIN,swe_latest,8.7,2019-12-29
Gin Flat,GIN,swe_percapr1,25,2019-12-29
Lower Kibbie Ridge,KIB,swe_latest,7.3,2019-12-29
