station,dwr3id,pname,value,cdecday
Peterson Flat,PET,swe_latest,3.1,2016-11-30
Peterson Flat,PET,swe_percapr1,10,2016-11-30
Red Rock Mountain,RRM,swe_latest,10.1,2016-11-30
Red Rock Mountain,RRM,swe_percapr1,25,2016-11-30
Shimmy Lake,SHM,swe_latest,7.2,2016-11-30
Shimmy Lake,SHM,swe_percapr1,17,2016-11-30
Middle Boulder 3,MB3,swe_latest,5,2016-11-30
Middle Boulder 3,MB3,swe_percapr1,17,2016-11-30
Highland Lakes,HIG,swe_latest,5.1,2016-11-30
Highland Lakes,HIG,swe_percapr1,17,2016-11-30
Scott Mountain,SCT,swe_latest,1.8,2016-11-30
Scott Mountain,SCT,swe_percapr1,11,2016-11-30
Mumbo Basin,MUM,swe_latest,3,2016-11-30
Mumbo Basin,MUM,swe_percapr1,13,2016-11-30
Big Flat,BFL,swe_latest,4,2016-11-30
Big Flat,BFL,swe_percapr1,25,2016-11-30
Crowder Flat,CWF,swe_latest,0.4,2016-11-30
Cedar Pass,CDP,swe_latest,2.8,2016-11-30
Cedar Pass,CDP,swe_percapr1,15,2016-11-30
Blacks Mountain,BLA,swe_latest,0.8,2016-11-30
Blacks Mountain,BLA,swe_percapr1,6,2016-11-30
Sand Flat,SDF,swe_latest,3.8,2016-11-30
Sand Flat,SDF,swe_percapr1,8,2016-11-30
Medicine Lake,MED,swe_latest,3.1,2016-11-30
Medicine Lake,MED,swe_percapr1,9,2016-11-30
Adin Mountain,ADM,swe_latest,2.1,2016-11-30
Adin Mountain,ADM,swe_percapr1,15,2016-11-30
Snow Mountain,SNM,swe_latest,4.4,2016-11-30
Snow Mountain,SNM,swe_percapr1,16,2016-11-30
Slate Creek,SLT,swe_latest,4.4,2016-11-30
Slate Creek,SLT,swe_percapr1,15,2016-11-30
Stouts Meadow,STM,swe_latest,3.5,2016-11-30
Stouts Meadow,STM,swe_percapr1,9,2016-11-30
Kettle Rock,KTL,swe_latest,3.4,2016-11-30
Kettle Rock,KTL,swe_percapr1,13,2016-11-30
Grizzly Ridge,GRZ,swe_latest,3.4,2016-11-30
Grizzly Ridge,GRZ,swe_percapr1,11,2016-11-30
Pilot Peak,PLP,swe_latest,5.2,2016-11-30
Pilot Peak,PLP,swe_percapr1,9,2016-11-30
Gold Lake,GOL,swe_latest,6.2,2016-11-30
Gold Lake,GOL,swe_percapr1,16,2016-11-30
